Park, Autoregressive R2,Autoregressive RMSE,Autoregressive MAE,Google Trends Real-time R2,Google Trends Real-time RMSE,Google Trends Real-time MAE,Google Trends Forecast R2,Google Trends Forecast RMSE,Google Trends Forecast MAE
Overall,0.87,"1,033,707","230,547",0.98,"384,042","193,795",0.97,"409,479","206,955"
ACAD,0.82,"231,653","217,869",0.42,"644,118","495,641",0.001726997,685375.174,488430.5
ARCH,0.75,"179,021","153,804",0.35,"325,003","288,683",0.288508209,347434.531,309459.9
BADL,0.17,"88,731","80,212",0.41,"92,311","72,878",0.217544497,96456.041,81480.8
BIBE,0.46,"51,599","43,998",0.46,"51,007","42,979",0.008839633,56505.276,45484.2
BISC,0.75,"33,110","29,966",0.01,"34,247","32,528",0.004586699,30233.866,23656.4
BLCA,0.99,"62,551","46,745",0.44,"65,723","48,417",0.308875754,67534.218,48663
BRCA,0.72,"331,076","240,666",0,"693,157","487,381",0.080468169,720109.532,539741.2
CANY,0.65,"149,882","125,657",0.27,"182,095","149,545",0.070465512,188295.305,149904
CARE,0.7,"204,072","164,637",0.4,"273,186","223,843",0.00E+00,302372.591,243327.3
CAVE,0.71,"58,217","42,953",0.32,"64,738","49,891",0.000648419,61722.662,42936.2
CHIS,0.55,"64,222","60,121",0.65,"64,601","61,039",0.053665412,67984.964,58536.5
CONG,0.25,"28,869","23,847",0.31,"29,044","23,498",0.28734624,28398.111,22579.8
CRLA,0.28,"143,938","120,365",0.01,"171,579","142,380",0.038114574,177738.59,143821.9
CUVA,0.19,"227,129","172,225",0.27,"98,315","77,328",0.056416276,106460.178,78036.9
DEVA,0.4,"123,448","118,892",0.22,"248,081","218,446",0.000410038,132286.548,118870.1
DENA,0.71,"130,998","114,889",0,"147,180","135,966",0.339904182,211268.765,179445.5
DRTO,0.02,"7,813","6,778",0.62,"9,960","8,589",0.087189334,10293.024,8351.2
EVER,0.04,"93,640","89,947",0.18,"114,578","102,440",0.02932153,96679.22,88889.6
GAAR,0.39,935,663,0.27,831,760,0.032308558,1548.16,1472.1
GLBA,0.8,"287,735","218,064",0,"72,210","67,234",0.027357198,687050.782,542935.5
GLAC,0.11,"62,724","58,709",0.22,"658,162","532,419",0.21726524,72098.805,64049.2
GRCA,0.3,"39,499","31,626",0.01,"1,208,119","999,960",0.02780259,43207.114,31800.8
GRTE,0.78,"1,779,700","1,242,266",0.9,"462,340","427,666",0.031833554,1104548.503,968392.4
GRBA,0.68,"103,083","76,583",0.05,"41,136","31,539",0.18610641,113103.421,82669.6
GRSA,0.65,"7,213,892","4,469,575",0.2,"105,685","76,672",0.303346422,1481560.088,1340245.6
GRSM,0.66,"262,487","190,025",0.55,"1,339,997","1,224,582",0.502863272,470521.628,422420
GUMO,0.06,"29,197","22,051",0.03,"29,585","22,929",0.69321324,34804.786,26590.4
HALE,0.09,"187,818","172,697",0.11,"164,912","149,895",0.251702942,190414.89,176252.7
HAVO,0.96,"197,996","191,847",0.03,"404,256","371,067",0.104849477,336262.774,299417
HOSP,0.76,"114,614","105,476",0.35,"161,253","144,980",0.885774053,188275.171,172654.9
ISRO,0.12,"6,794","5,149",0.66,"7,127","5,520",0.8879844,6972.594,5768.8
JOTR,0.9,"327,238","273,236",0.65,"695,701","552,095",0.183052673,791180.966,605829.9
KATM,0.58,"5,145","4,013",0.69,"9,311","6,181",0.709565517,9037.236,5742.8
KEFJ,0.01,"30,784","20,170",0.72,"34,203","24,839",0.382037477,36192.134,30798.6
KICA,0.09,"90,471","80,267",0.05,"83,708","72,243",0.099349541,85998.502,78167
KOVA,0.29,"8,397","8,247",0.02,"10,657","9,382",0.055643459,8891.693,8117.4
LACL,0.19,"7,009","6,270",0,"6,730","5,542",0.006565471,6633.103,5309.2
LAVO,0.48,"78,728","72,385",0.28,"84,976","75,760",0.01814013,82266.394,67887.5
MACA,0.44,"84,810","80,152",0.5,"74,855","60,726",0.257451038,64771.787,53842.4
