"","Median","LowerBound25","LowerBound50","UpperBound25","UpperBound50","Visitation","Year","Park"
"1",2430816.5,2245817.75,2043195.5,2649554.25,2886846.25,2254922,2013,"ACAD"
"2",1058007.5,974374.25,891207,1143577.75,1250000.5,1082866,2013,"ARCH"
"3",865160,797837.625,722803,937219.75,1020188.75,892372,2013,"BADL"
"4",339027,313752,284808.5,369337.75,400872.75,316953,2013,"BIBE"
"5",499079.5,459620.625,415194.25,542480.125,593735.75,486848,2013,"BISC"
"6",170279,156268.625,142507.75,184886.25,202354,175852,2013,"BLCA"
"7",1371028,1263576.75,1160040.75,1480604.5,1620786.75,1311875,2013,"BRCA"
"8",448273.5,411801.5,376179.5,481784.75,528494,462242,2013,"CANY"
"9",659984,608564,555211,717368.25,783825,663670,2013,"CARE"
"10",385760.5,353065.125,323916.5,420735.875,459934.5,388566,2013,"CAVE"
"11",268065.5,247203.5,224620.5,289033.75,318508,212029,2013,"CHIS"
"12",114033.5,104942.5,96052.25,124055.25,136278.25,120340,2013,"CONG"
"13",429365,393529.125,358028.25,464798.875,510180.25,523027,2013,"CRLA"
"14",2119374.5,1949874.75,1755747.75,2298965.25,2504669.25,2103010,2013,"CUVA"
"15",390563,359090.125,327787.5,423860,461181,530922,2013,"DENA"
"16",968700.5,893067.75,811613,1051375.25,1143578,951972,2013,"DEVA"
"17",60893.5,55945.75,50653.25,66603,73003.25,58401,2013,"DRTO"
"18",948131,875159.75,791554.25,1031853.625,1128085.5,1047116,2013,"EVER"
"19",11168.5,10255.625,9232.5,12051.25,13193.75,11012,2013,"GAAR"
"20",1962893,1805221.375,1632218,2134328.75,2326983,2190374,2013,"GLAC"
"21",438727.5,404508.75,363282.75,476079,520716.25,500590,2013,"GLBA"
"22",85618.5,78430.75,71674.25,92664.75,101649.25,92893,2013,"GRBA"
"23",4311223.5,3989245.75,3626330.5,4686416.125,5118514.5,4564840,2013,"GRCA"
"24",270363,248496.375,226841.75,293225.5,320235.5,242841,2013,"GRSA"
"25",9334855.5,8516392.125,7689146.75,10199370.5,11314386.5,9354695,2013,"GRSM"
"26",2696808.5,2478978.75,2261420.75,2930457.625,3196081,2688794,2013,"GRTE"
"27",169518.5,156580.75,142220,182794.625,199929.75,145670,2013,"GUMO"
"28",961862,881074.375,803165.25,1047912.125,1138906,785300,2013,"HALE"
"29",1312094,1214009.75,1107723.5,1427070.625,1565012.25,1583209,2013,"HAVO"
"30",1272065,1172714.5,1076549,1385898.125,1515676.75,1325719,2013,"HOSP"
"31",15550.5,14309.625,12950,16769,18271.25,16274,2013,"ISRO"
