"","Median","LowerBound25","LowerBound50","UpperBound25","UpperBound50","Visitation","Year","Park","PercDiff"
"1",2504521,2305539.375,2084811.75,2742757.25,2992314.5,2254922,2013,"ACAD",0.110690746730929
"2",1059916,972969.25,875339,1150286.5,1269790.5,1082866,2013,"ARCH",0.0211937580457785
"3",873214.5,797013,722724.25,950788.875,1037324.5,892372,2013,"BADL",0.0214680648877374
"4",337953,309226.25,279688.75,367967.5,406574,316953,2013,"BIBE",0.0662558802093686
"5",488620,445605.875,401458.25,533061.75,585724.25,486848,2013,"BISC",0.00363973971342185
"6",171041,156751.875,142175.5,185949.75,205038,175852,2013,"BLCA",0.0273582330596183
"7",1392791,1277199.875,1143500.5,1506079.5,1660080.5,1311875,2013,"BRCA",0.0616796569795141
"8",447027,412477.25,370281,486853.5,533360.25,462242,2013,"CANY",0.0329156588972876
"9",657057.5,602761.25,552230.25,710783.375,778831.75,663670,2013,"CARE",0.00996353609474588
"10",385604,355236.5,320576.75,420072.875,461451.25,388566,2013,"CAVE",0.0076229006140527
"11",270120.5,249430.75,226504,292753.625,321962.25,212029,2013,"CHIS",0.273979031170264
"12",114781,105556.625,96165.25,124775.75,136504.25,120340,2013,"CONG",0.0461941166694366
"13",424658.5,389847.875,354860,464466.25,509339.25,523027,2013,"CRLA",0.188075376605797
"14",2027661,1859677.875,1687318,2187041.125,2394954.25,2103010,2013,"CUVA",0.0358291211168753
"15",382149,350927.25,318677.5,413975.375,455904.75,530922,2013,"DENA",0.280216302959757
"16",974539,898700.875,811973.5,1056510.125,1161969,951972,2013,"DEVA",0.0237055291542188
"17",60542,55454.5,50157,66023.375,72904.25,58401,2013,"DRTO",0.036660331158713
"18",991013.5,909419.75,822157.75,1079268.5,1194281.75,1047116,2013,"EVER",0.0535781135996394
"19",11107,10169.5,9161.75,11999,13203,11012,2013,"GAAR",0.00862695241554668
"20",1983103.5,1824890.75,1663012.5,2170862.125,2390111.25,2190374,2013,"GLAC",0.0946279037278565
"21",431474,397731.125,362686.25,470222.875,517898.5,500590,2013,"GLBA",0.138069078487385
"22",86426.5,78970.375,71743.25,93911,103355.75,92893,2013,"GRBA",0.0696123496926571
"23",4288164,3925710.25,3558060.25,4678773.5,5102139.25,4564840,2013,"GRCA",0.0606102294932572
"24",266829.5,244626.5,220886,292560.875,321246,242841,2013,"GRSA",0.0987827426175975
"25",9962150.5,9099567.25,8188469.75,10902237.75,12080544.25,9354695,2013,"GRSM",0.0649358958255721
"26",2673123,2440053.875,2227021,2895852.875,3199344.5,2688794,2013,"GRTE",0.00582826352632444
"27",168608.5,153208.125,138150,183891,201562.25,145670,2013,"GUMO",0.157468936637606
"28",971740.5,894089.375,808968.5,1060358.625,1170650,785300,2013,"HALE",0.237413090538648
"29",1360499,1245160.5,1120529.25,1491379.25,1638859,1583209,2013,"HAVO",0.140669993664766
"30",1313350,1204294.125,1090652.25,1431163.375,1563573.25,1325719,2013,"HOSP",0.00933003147725876
"31",15347.5,14192.25,12886.5,16775.375,18374,16274,2013,"ISRO",0.0569313014624555
"32",1391893.5,1279810.875,1156610.75,1518140.625,1663673.25,1383340,2013,"JOTR",0.0061832232133821
"33",39062.5,35856.25,32479,42314.625,46671.5,28966,2013,"KATM",0.348563833459919
"34",284484,261384,237378.25,309570.25,338067.75,283502,2013,"KEFJ",0.00346382036105565
"35",566380.5,522035.25,473353,616514.125,681625.25,567544,2013,"KICA",0.00205006131683182
"36",9735,8930.25,8133.75,10634.125,11608,16875,2013,"KOVA",0.423111111111111
"37",8799,8058.625,7309,9520.75,10462,13000,2013,"LACL",0.323153846153846
"38",372496.5,342179.875,306547.5,405756.375,445228,427409,2013,"LAVO",0.128477640854544
"39",478671,440284.5,397928,520472.75,568108.75,494541,2013,"MACA",0.0320903625786335
"40",528218,482161.25,435064.5,574047.875,630059,460237,2013,"MEVE",0.147708680527641
"41",1028083,947042.875,859165,1122027.375,1236546,1148552,2013,"MORA",0.104887719493763
"42",23271.5,21311.375,19309.5,25580.625,27929,21623,2013,"NOCA",0.0762382648106183
"43",5987,5480,4987.75,6466.375,7066.25,17919,2013,"NPSA",0.665885373067693
"44",2741890,2508684.875,2261775.5,2981534.25,3263166.25,3085340,2013,"OLYM",0.111316743049388
"45",621453.5,575400.875,519993.75,678372.25,750413,644648,2013,"PEFO",0.0359801007681712
"46",378982,347985.625,314337.25,414995.5,455021.5,393364,2013,"REDW",0.0365615562176508
"47",3586097.5,3305766.625,2999168.25,3892021.625,4263530.75,2991141,2013,"ROMO",0.198906203351831
"48",629788,576449.5,526961.25,687132.875,756210.25,678261,2013,"SAGU",0.0714665888205278
"49",1039914.5,952187.625,863641,1137641.625,1239843.5,909274,2013,"SEQU",0.143675613731395
"50",1204007.5,1098033.875,996672,1311761.625,1438229.75,1136505,2013,"SHEN",0.0593948112854761
"51",597941,551243.25,497351.5,651147.25,708187.75,545090,2013,"THRO",0.0969583004641435
"52",441596.5,405454,367967,484760.875,531451.5,438601,2013,"VIIS",0.00682966979099455
"53",211107,193448.25,176979.5,230526.25,254741.25,233390,2013,"VOYA",0.0954753845494666
