"","Median","LowerBound25","LowerBound50","UpperBound25","UpperBound50","Visitation","Year","Park"
"1",2253565.5,2087064.875,1923635,2425782,2655710.5,2254922,2013,"ACAD"
"2",1005915.5,931484.25,851046.75,1082911.75,1175023,1082866,2013,"ARCH"
"3",895635.5,824942.625,752580.5,959142.5,1043808.75,892372,2013,"BADL"
"4",349087.5,322145.625,291174,377745.125,413802.75,316953,2013,"BIBE"
"5",514973,473639.25,435686.5,555277.125,600859,486848,2013,"BISC"
"6",183258,168387.625,155082.75,197226,215117.25,175852,2013,"BLCA"
"7",1267626,1159963.125,1061055,1376709,1492480.75,1311875,2013,"BRCA"
"8",458428,424955.875,386582.75,493366.5,536374,462242,2013,"CANY"
"9",654453.5,605144.25,546996.25,707371.5,773752.5,663670,2013,"CARE"
"10",402878.5,372759.5,344894,438433.75,481897.25,388566,2013,"CAVE"
"11",303881.5,281877.875,255322.25,329780.25,359395.25,212029,2013,"CHIS"
"12",123224.5,112963.5,102723.75,133129.5,144683.5,120340,2013,"CONG"
"13",441236,408812.75,370616,478798,525583.75,523027,2013,"CRLA"
"14",2293884,2122845.375,1929363.5,2485233.125,2712428.75,2103010,2013,"CUVA"
"15",394686,363801.625,330189.5,426627.25,467501.25,530922,2013,"DENA"
"16",931295.5,853508.75,777413,1007138.375,1096979,951972,2013,"DEVA"
"17",69977,64084.875,58495.75,75637.5,82418.75,58401,2013,"DRTO"
"18",928892,863435.375,783930.5,1007224.625,1093050.25,1047116,2013,"EVER"
"19",13201,12063.125,10889,14322.875,15777.75,11012,2013,"GAAR"
"20",1953583,1805293.25,1661825.75,2108652.125,2308073.25,2190374,2013,"GLAC"
"21",448054,414874,377322.5,485240.5,529010.25,500590,2013,"GLBA"
"22",89664.5,83299.75,76672.5,96506.125,103958.75,92893,2013,"GRBA"
"23",3948125,3650232.875,3345350,4296359.75,4715319.75,4564840,2013,"GRCA"
"24",287672.5,261857.125,238635,309914.875,338210,242841,2013,"GRSA"
"25",8438665.5,7826919.625,7131757.25,9112012.875,9977422.5,9354695,2013,"GRSM"
"26",2504515.5,2323699.25,2113649.75,2725372.75,2947365,2688794,2013,"GRTE"
"27",188709.5,174505.5,159633.25,204463.625,225137.75,145670,2013,"GUMO"
"28",1065656,986107.625,900305,1153706.375,1247019.25,785300,2013,"HALE"
"29",1323985.5,1227015,1129012.5,1426150.625,1557259,1583209,2013,"HAVO"
"30",1259121.5,1156320.5,1053703.75,1363694.25,1480087.25,1325719,2013,"HOSP"
