"","Median","LowerBound25","LowerBound50","UpperBound25","UpperBound50","Visitation","Year","Park"
"1",2256559.5,2102155.125,1942362.25,2419300.625,2600669.75,2254922,2013,"ACAD"
"2",1005723.5,933180.25,859015.25,1077090.75,1168571,1082866,2013,"ARCH"
"3",898674.5,835806.5,771433.25,961941.625,1037166.75,892372,2013,"BADL"
"4",335301.5,309059.5,282476.5,359799.375,392008.25,316953,2013,"BIBE"
"5",521748,486447,449400.75,558101.875,600327.5,486848,2013,"BISC"
"6",175051,164020.375,152053.5,187332.375,203111.5,175852,2013,"BLCA"
"7",1292276.5,1207867,1123754.25,1394801.75,1500795.5,1311875,2013,"BRCA"
"8",445246.5,416006,380513,477952.125,518832,462242,2013,"CANY"
"9",653668.5,613099.875,564714.75,703724.25,754567,663670,2013,"CARE"
"10",392934,362926.375,328495.5,426069.625,461405,388566,2013,"CAVE"
"11",269849,250852.25,227434.25,290786.5,322018.5,212029,2013,"CHIS"
"12",118603,110600.125,102475.5,127461.25,137266,120340,2013,"CONG"
"13",433886.5,404314.5,373558.5,467221.5,504989.5,523027,2013,"CRLA"
"14",2189115,2041234.75,1869287.5,2355915.25,2540517.75,2103010,2013,"CUVA"
"15",393999,363448.625,329443.5,419710,452765.25,530922,2013,"DENA"
"16",922501,855749.75,789125.75,978107.375,1053968.75,951972,2013,"DEVA"
"17",63222.5,58664.75,54499,67833.625,73163.75,58401,2013,"DRTO"
"18",951458,883430.375,815745.75,1021495.875,1107832.25,1047116,2013,"EVER"
"19",12190,11288.25,10424,13121.5,14341,11012,2013,"GAAR"
"20",1990650.5,1855355.375,1697876.25,2137256.375,2308959,2190374,2013,"GLAC"
"21",441846.5,411021.875,379691.75,476335.75,518140.25,500590,2013,"GLBA"
"22",90136,84473.125,77803,96412,103360,92893,2013,"GRBA"
"23",4109147,3802660.5,3488832.75,4440788.25,4812659.25,4564840,2013,"GRCA"
"24",277439.5,257082.75,234711.5,300015.375,329841.75,242841,2013,"GRSA"
"25",8769291.5,8124496.125,7495985.25,9431011.375,10180756.75,9354695,2013,"GRSM"
"26",2501041,2339085.5,2150922.75,2692220.75,2916401.25,2688794,2013,"GRTE"
"27",168091,156003.875,143866.5,180638.5,195712,145670,2013,"GUMO"
"28",1018620.5,950039.75,875975.25,1099502.125,1197587.75,785300,2013,"HALE"
"29",1306456,1209534.25,1111597,1417495,1534552.5,1583209,2013,"HAVO"
"30",1292111.5,1209099.125,1122104.75,1376085.375,1474220.25,1325719,2013,"HOSP"
"31",17457,16272.875,14911.75,18786.375,20457.25,16274,2013,"ISRO"
"32",1369366.5,1267533.5,1174647.75,1470234.75,1585222.25,1383340,2013,"JOTR"
"33",48211,44837.625,41179.5,52117.25,56502.75,28966,2013,"KATM"
"34",289031.5,269591.5,248813.75,309160.25,332362,283502,2013,"KEFJ"
"35",584772,539672.625,494450.5,628141.625,676581,567544,2013,"KICA"
"36",20003,18566.75,16777.5,21536.75,23300.5,16875,2013,"KOVA"
"37",10685,9811.5,8991.5,11614.75,12717,13000,2013,"LACL"
"38",391767.5,361027,330483.75,421483.5,456332.25,427409,2013,"LAVO"
"39",503985.5,466866.75,427186.25,549151.5,599312.5,494541,2013,"MACA"
"40",539462,503682.375,458288.25,579292.625,625933.75,460237,2013,"MEVE"
