Date,Month,Park,Visitation,Google,CCI,Lag12G,VisLag1,VisLag2
2008-01-01,Jan,ACAD,"10,744",22,98.66745,21,"12,415","13,494"
2008-02-01,Feb,ACAD,"11,131",23,98.28046,23,"11,068","12,924"
2008-03-01,Mar,ACAD,"17,489",28,97.81391,27,"19,220","21,695"
2008-04-01,Apr,ACAD,"53,798",39,97.28801,31,"61,775","59,034"
2008-05-01,May,ACAD,"125,679",44,96.91043,49,"132,152","120,889"
2008-06-01,Jun,ACAD,"263,542",59,96.79169,54,"273,765","244,333"
2008-07-01,Jul,ACAD,"470,295",66,96.99389,67,"461,894","476,631"
2008-08-01,Aug,ACAD,"514,443",59,97.25005,62,"544,892","506,833"
2008-09-01,Sep,ACAD,"319,582",33,97.32576,38,"371,217","330,649"
2008-10-01,Oct,ACAD,"246,533",23,96.97441,23,"263,311","249,850"
2008-11-01,Nov,ACAD,"32,759",15,96.71896,13,"41,449","33,903"
2008-12-01,Dec,ACAD,"9,862",12,96.71152,12,"9,070","13,353"
2009-01-01,Jan,ACAD,"9,366",20,96.7187,22,"10,744","12,415"
2009-02-01,Feb,ACAD,"9,751",22,96.69278,23,"11,131","11,068"
2009-03-01,Mar,ACAD,"19,258",25,96.8938,28,"17,489","19,220"
2009-04-01,Apr,ACAD,"59,277",29,97.33988,39,"53,798","61,775"
2009-05-01,May,ACAD,"129,885",46,97.72372,44,"125,679","132,152"
2009-06-01,Jun,ACAD,"244,780",49,97.88263,59,"263,542","273,765"
2009-07-01,Jul,ACAD,"457,622",66,97.83762,66,"470,295","461,894"
2009-08-01,Aug,ACAD,"586,446",91,97.88111,59,"514,443","544,892"
2009-09-01,Sep,ACAD,"399,789",100,98.05814,33,"319,582","371,217"
2009-10-01,Oct,ACAD,"258,007",29,98.08765,23,"246,533","263,311"
2009-11-01,Nov,ACAD,"44,042",17,98.10162,15,"32,759","41,449"
2009-12-01,Dec,ACAD,"9,475",13,98.27495,12,"9,862","9,070"
2010-01-01,Jan,ACAD,"10,510",20,98.43562,20,"9,366","10,744"
2010-02-01,Feb,ACAD,"13,398",21,98.49038,22,"9,751","11,131"
2010-03-01,Mar,ACAD,"26,080",28,98.4873,25,"19,258","17,489"
2010-04-01,Apr,ACAD,"57,992",34,98.467,29,"59,277","53,798"
2010-05-01,May,ACAD,"169,898",44,98.46574,46,"129,885","125,679"
2010-06-01,Jun,ACAD,"286,635",63,98.37128,49,"244,780","263,542"
2010-07-01,Jul,ACAD,"545,382",84,98.08856,66,"457,622","470,295"
2010-08-01,Aug,ACAD,"627,918",69,97.91614,91,"586,446","514,443"
2010-09-01,Sep,ACAD,"431,001",43,97.86565,100,"399,789","319,582"
2010-10-01,Oct,ACAD,"289,114",26,97.96348,29,"258,007","246,533"
2010-11-01,Nov,ACAD,"36,736",15,98.21903,17,"44,042","32,759"
2010-12-01,Dec,ACAD,"9,544",14,98.46816,13,"9,475","9,862"
2011-01-01,Jan,ACAD,"10,428",19,98.5757,20,"10,510","9,366"
2011-02-01,Feb,ACAD,"9,533",20,98.52698,21,"13,398","9,751"
2011-03-01,Mar,ACAD,"19,510",22,98.28506,28,"26,080","19,258"
2011-04-01,Apr,ACAD,"58,307",29,98.22705,34,"57,992","59,277"
2011-05-01,May,ACAD,"132,720",39,98.21146,44,"169,898","129,885"
2011-06-01,Jun,ACAD,"297,222",56,97.90632,63,"286,635","244,780"
2011-07-01,Jul,ACAD,"559,892",70,97.33338,84,"545,382","457,622"
2011-08-01,Aug,ACAD,"583,153",59,96.84435,69,"627,918","586,446"
2011-09-01,Sep,ACAD,"387,868",38,96.77763,43,"431,001","399,789"
2011-10-01,Oct,ACAD,"270,477",26,97.00771,26,"289,114","258,007"
2011-11-01,Nov,ACAD,"34,192",14,97.44639,15,"36,736","44,042"
2011-12-01,Dec,ACAD,"11,343",14,97.98903,14,"9,544","9,475"
2012-01-01,Jan,ACAD,"11,930",20,98.45164,19,"10,428","10,510"
2012-02-01,Feb,ACAD,"12,388",18,98.70954,20,"9,533","13,398"
2012-03-01,Mar,ACAD,"22,684",22,98.83382,22,"19,510","26,080"
2012-04-01,Apr,ACAD,"59,471",29,98.86866,29,"58,307","57,992"
2012-05-01,May,ACAD,"157,406",48,98.81271,39,"132,720","169,898"
2012-06-01,Jun,ACAD,"309,198",51,98.60784,56,"297,222","286,635"
2012-07-01,Jul,ACAD,"539,234",66,98.53565,70,"559,892","545,382"
2012-08-01,Aug,ACAD,"574,307",68,98.70587,59,"583,153","627,918"
2012-09-01,Sep,ACAD,"391,810",43,99.02282,38,"387,868","431,001"
2012-10-01,Oct,ACAD,"302,932",24,99.25011,26,"270,477","289,114"
2012-11-01,Nov,ACAD,"38,385",17,99.16354,14,"34,192","36,736"
2012-12-01,Dec,ACAD,"11,307",13,98.8289,14,"11,343","9,544"
2013-01-01,Jan,ACAD,"11,249",20,98.70023,20,"11,930","10,428"
2013-02-01,Feb,ACAD,"9,869",18,98.80344,18,"12,388","9,533"
2013-03-01,Mar,ACAD,"20,631",21,98.9706,22,"22,684","19,510"
2013-04-01,Apr,ACAD,"47,090",34,99.1832,29,"59,471","58,307"
2013-05-01,May,ACAD,"133,653",40,99.52229,48,"157,406","132,720"
2013-06-01,Jun,ACAD,"315,791",50,99.69761,51,"309,198","297,222"
2013-07-01,Jul,ACAD,"555,308",66,99.65983,66,"539,234","559,892"
2013-08-01,Aug,ACAD,"617,306",65,99.3783,68,"574,307","583,153"
2013-09-01,Sep,ACAD,"400,400",37,98.99631,43,"391,810","387,868"
2013-10-01,Oct,ACAD,"94,904",33,98.76015,24,"302,932","270,477"
2013-11-01,Nov,ACAD,"41,181",14,98.86088,17,"38,385","34,192"
2013-12-01,Dec,ACAD,"7,540",13,99.16534,13,"11,307","11,343"
2014-01-01,Jan,ACAD,"10,459",17,99.33865,20,"11,249","11,930"
2014-02-01,Feb,ACAD,"10,258",17,99.40892,18,"9,869","12,388"
2014-03-01,Mar,ACAD,"17,502",22,99.44125,21,"20,631","22,684"
2014-04-01,Apr,ACAD,"57,211",27,99.51447,34,"47,090","59,471"
2014-05-01,May,ACAD,"153,013",38,99.50082,40,"133,653","157,406"
2014-06-01,Jun,ACAD,"338,845",48,99.47433,50,"315,791","309,198"
2014-07-01,Jul,ACAD,"561,073",71,99.46612,66,"555,308","539,234"
2014-08-01,Aug,ACAD,"638,152",62,99.56129,65,"617,306","574,307"
2014-09-01,Sep,ACAD,"418,173",41,99.7662,37,"400,400","391,810"
2014-10-01,Oct,ACAD,"313,920",27,100.0543,33,"94,904","302,932"
2014-11-01,Nov,ACAD,"31,013",13,100.4078,14,"41,181","38,385"
2014-12-01,Dec,ACAD,"13,510",14,100.7997,13,"7,540","11,307"
2015-01-01,Jan,ACAD,"12,578",19,101.0638,17,"10,459","11,249"
2015-02-01,Feb,ACAD,"10,626",21,101.0661,17,"10,258","9,869"
2015-03-01,Mar,ACAD,"18,062",24,100.9696,22,"17,502","20,631"
2015-04-01,Apr,ACAD,"63,214",29,100.9149,27,"57,211","47,090"
2015-05-01,May,ACAD,"187,205",44,100.8346,38,"153,013","133,653"
2015-06-01,Jun,ACAD,"359,661",55,100.8487,48,"338,845","315,791"
2015-07-01,Jul,ACAD,"606,597",69,100.7341,71,"561,073","555,308"
2015-08-01,Aug,ACAD,"666,767",65,100.5447,62,"638,152","617,306"
2015-09-01,Sep,ACAD,"479,320",45,100.3741,41,"418,173","400,400"
2015-10-01,Oct,ACAD,"344,362",28,100.4033,27,"313,920","94,904"
2015-11-01,Nov,ACAD,"48,912",15,100.5198,13,"31,013","41,181"
2015-12-01,Dec,ACAD,"13,880",16,100.6167,14,"13,510","7,540"
2016-01-01,Jan,ACAD,"17,204",20,100.6298,19,"12,578","10,459"
2016-02-01,Feb,ACAD,"16,530",29,100.5925,21,"10,626","10,258"
2016-03-01,Mar,ACAD,"28,121",28,100.5527,24,"18,062","17,502"
2016-04-01,Apr,ACAD,"94,199",36,100.5748,29,"63,214","57,211"
2016-05-01,May,ACAD,"217,147",56,100.697,44,"187,205","153,013"
2016-06-01,Jun,ACAD,"445,410",66,100.675,55,"359,661","338,845"
2016-07-01,Jul,ACAD,"696,854",86,100.5284,69,"606,597","561,073"
2016-08-01,Aug,ACAD,"735,945",75,100.4226,65,"666,767","638,152"
2016-09-01,Sep,ACAD,"570,434",50,100.4034,45,"479,320","418,173"
2016-10-01,Oct,ACAD,"412,416",37,100.4803,28,"344,362","313,920"
2016-11-01,Nov,ACAD,"55,022",19,100.8092,15,"48,912","31,013"
2016-12-01,Dec,ACAD,"14,111",18,101.1464,16,"13,880","13,510"
2017-01-01,Jan,ACAD,"15,520",24,101.2944,20,"17,204","12,578"
2017-02-01,Feb,ACAD,"14,342",28,101.2821,29,"16,530","10,626"
2017-03-01,Mar,ACAD,"20,936",32,101.2514,28,"28,121","18,062"
2017-04-01,Apr,ACAD,"85,267",38,101.2115,36,"94,199","63,214"
2017-05-01,May,ACAD,"222,978",49,101.14,56,"217,147","187,205"
2017-06-01,Jun,ACAD,"476,191",67,101.0344,66,"445,410","359,661"
2017-07-01,Jul,ACAD,"743,529",80,100.9954,86,"696,854","606,597"
2017-08-01,Aug,ACAD,"762,436",73,101.0979,75,"735,945","666,767"
2017-09-01,Sep,ACAD,"595,388",49,101.2299,50,"570,434","479,320"
2017-10-01,Oct,ACAD,"507,594",39,101.3895,37,"412,416","344,362"
2017-11-01,Nov,ACAD,"53,006",20,101.3534,19,"55,022","48,912"
2017-12-01,Dec,ACAD,"12,084",17,101.1748,18,"14,111","13,880"
2008-01-01,Jan,ARCH,"9,095",34,98.66745,34,"10,681","12,841"
2008-02-01,Feb,ARCH,"13,435",26,98.28046,32,"15,453","20,728"
2008-03-01,Mar,ARCH,"66,408",31,97.81391,37,"63,618","67,550"
2008-04-01,Apr,ARCH,"83,695",41,97.28801,39,"90,031","84,244"
2008-05-01,May,ARCH,"133,195",41,96.91043,53,"111,652","110,564"
2008-06-01,Jun,ARCH,"124,451",34,96.79169,37,"109,027","102,061"
2008-07-01,Jul,ARCH,"121,038",30,96.99389,32,"112,167","101,297"
2008-08-01,Aug,ARCH,"129,843",100,97.25005,28,"106,047","107,176"
2008-09-01,Sep,ARCH,"124,268",34,97.32576,29,"120,301","112,335"
2008-10-01,Oct,ARCH,"80,194",26,96.97441,30,"77,963","72,615"
2008-11-01,Nov,ARCH,"29,604",25,96.71896,22,"30,536","28,087"
2008-12-01,Dec,ARCH,"13,569",19,96.71152,21,"12,705","13,551"
2009-01-01,Jan,ARCH,"11,684",27,96.7187,34,"9,095","10,681"
2009-02-01,Feb,ARCH,"15,488",29,96.69278,26,"13,435","15,453"
2009-03-01,Mar,ARCH,"66,898",39,96.8938,31,"66,408","63,618"
2009-04-01,Apr,ARCH,"91,114",37,97.33988,41,"83,695","90,031"
2009-05-01,May,ARCH,"139,332",39,97.72372,41,"133,195","111,652"
2009-06-01,Jun,ARCH,"140,161",35,97.88263,34,"124,451","109,027"
2009-07-01,Jul,ARCH,"133,854",31,97.83762,30,"121,038","112,167"
2009-08-01,Aug,ARCH,"133,880",37,97.88111,100,"129,843","106,047"
2009-09-01,Sep,ARCH,"131,913",29,98.05814,34,"124,268","120,301"
2009-10-01,Oct,ARCH,"86,601",31,98.08765,26,"80,194","77,963"
2009-11-01,Nov,ARCH,"31,714",25,98.10162,25,"29,604","30,536"
2009-12-01,Dec,ARCH,"13,673",19,98.27495,19,"13,569","12,705"
2010-01-01,Jan,ARCH,"8,713",24,98.43562,27,"11,684","9,095"
2010-02-01,Feb,ARCH,"11,746",24,98.49038,29,"15,488","13,435"
2010-03-01,Mar,ARCH,"57,623",33,98.4873,39,"66,898","66,408"
2010-04-01,Apr,ARCH,"93,999",31,98.467,37,"91,114","83,695"
2010-05-01,May,ARCH,"135,670",37,98.46574,39,"139,332","133,195"
2010-06-01,Jun,ARCH,"151,209",37,98.37128,35,"140,161","124,451"
2010-07-01,Jul,ARCH,"145,489",36,98.08856,31,"133,854","121,038"
2010-08-01,Aug,ARCH,"139,304",35,97.91614,37,"133,880","129,843"
2010-09-01,Sep,ARCH,"138,442",27,97.86565,29,"131,913","124,268"
2010-10-01,Oct,ARCH,"89,929",25,97.96348,31,"86,601","80,194"
2010-11-01,Nov,ARCH,"29,343",22,98.21903,25,"31,714","29,604"
2010-12-01,Dec,ARCH,"12,938",17,98.46816,19,"13,673","13,569"
2011-01-01,Jan,ARCH,"10,182",21,98.5757,24,"8,713","11,684"
2011-02-01,Feb,ARCH,"12,932",26,98.52698,24,"11,746","15,488"
2011-03-01,Mar,ARCH,"61,950",28,98.28506,33,"57,623","66,898"
2011-04-01,Apr,ARCH,"96,537",37,98.22705,31,"93,999","91,114"
2011-05-01,May,ARCH,"142,251",35,98.21146,37,"135,670","139,332"
2011-06-01,Jun,ARCH,"155,481",34,97.90632,37,"151,209","140,161"
2011-07-01,Jul,ARCH,"147,426",33,97.33338,36,"145,489","133,854"
2011-08-01,Aug,ARCH,"138,600",27,96.84435,35,"139,304","133,880"
2011-09-01,Sep,ARCH,"136,246",29,96.77763,27,"138,442","131,913"
2011-10-01,Oct,ARCH,"92,728",24,97.00771,25,"89,929","86,601"
2011-11-01,Nov,ARCH,"30,863",23,97.44639,22,"29,343","31,714"
2011-12-01,Dec,ARCH,"15,562",18,97.98903,17,"12,938","13,673"
2012-01-01,Jan,ARCH,"14,961",21,98.45164,21,"10,182","8,713"
2012-02-01,Feb,ARCH,"17,870",27,98.70954,26,"12,932","11,746"
2012-03-01,Mar,ARCH,"72,273",28,98.83382,28,"61,950","57,623"
2012-04-01,Apr,ARCH,"103,800",35,98.86866,37,"96,537","93,999"
2012-05-01,May,ARCH,"142,876",34,98.81271,35,"142,251","135,670"
2012-06-01,Jun,ARCH,"143,482",33,98.60784,34,"155,481","151,209"
2012-07-01,Jul,ARCH,"145,696",32,98.53565,33,"147,426","145,489"
2012-08-01,Aug,ARCH,"139,036",29,98.70587,27,"138,600","139,304"
2012-09-01,Sep,ARCH,"139,801",30,99.02282,29,"136,246","138,442"
2012-10-01,Oct,ARCH,"96,310",24,99.25011,24,"92,728","89,929"
2012-11-01,Nov,ARCH,"36,170",19,99.16354,23,"30,863","29,343"
2012-12-01,Dec,ARCH,"18,302",19,98.8289,18,"15,562","12,938"
2013-01-01,Jan,ARCH,"11,099",23,98.70023,21,"14,961","10,182"
2013-02-01,Feb,ARCH,"16,426",24,98.80344,27,"17,870","12,932"
2013-03-01,Mar,ARCH,"73,935",31,98.9706,28,"72,273","61,950"
2013-04-01,Apr,ARCH,"108,086",32,99.1832,35,"103,800","96,537"
2013-05-01,May,ARCH,"149,321",34,99.52229,34,"142,876","142,251"
2013-06-01,Jun,ARCH,"154,505",34,99.69761,33,"143,482","155,481"
2013-07-01,Jul,ARCH,"156,182",32,99.65983,32,"145,696","147,426"
2013-08-01,Aug,ARCH,"147,259",35,99.3783,29,"139,036","138,600"
2013-09-01,Sep,ARCH,"143,755",29,98.99631,30,"139,801","136,246"
2013-10-01,Oct,ARCH,"57,446",28,98.76015,24,"96,310","92,728"
2013-11-01,Nov,ARCH,"43,928",22,98.86088,19,"36,170","30,863"
2013-12-01,Dec,ARCH,"20,924",22,99.16534,19,"18,302","15,562"
2014-01-01,Jan,ARCH,"17,038",23,99.33865,23,"11,099","14,961"
2014-02-01,Feb,ARCH,"22,559",29,99.40892,24,"16,426","17,870"
2014-03-01,Mar,ARCH,"89,841",36,99.44125,31,"73,935","72,273"
2014-04-01,Apr,ARCH,"122,186",37,99.51447,32,"108,086","103,800"
2014-05-01,May,ARCH,"165,379",38,99.50082,34,"149,321","142,876"
2014-06-01,Jun,ARCH,"170,286",35,99.47433,34,"154,505","143,482"
2014-07-01,Jul,ARCH,"169,844",39,99.46612,32,"156,182","145,696"
2014-08-01,Aug,ARCH,"173,416",37,99.56129,35,"147,259","139,036"
2014-09-01,Sep,ARCH,"165,222",31,99.7662,29,"143,755","139,801"
2014-10-01,Oct,ARCH,"115,545",28,100.0543,28,"57,446","96,310"
2014-11-01,Nov,ARCH,"46,940",23,100.4078,22,"43,928","36,170"
2014-12-01,Dec,ARCH,"26,511",23,100.7997,22,"20,924","18,302"
2015-01-01,Jan,ARCH,"20,699",35,101.0638,23,"17,038","11,099"
2015-02-01,Feb,ARCH,"34,255",31,101.0661,29,"22,559","16,426"
2015-03-01,Mar,ARCH,"103,649",38,100.9696,36,"89,841","73,935"
2015-04-01,Apr,ARCH,"138,903",43,100.9149,37,"122,186","108,086"
2015-05-01,May,ARCH,"179,804",44,100.8346,38,"165,379","149,321"
2015-06-01,Jun,ARCH,"189,073",44,100.8487,35,"170,286","154,505"
2015-07-01,Jul,ARCH,"195,748",39,100.7341,39,"169,844","156,182"
2015-08-01,Aug,ARCH,"173,186",39,100.5447,37,"173,416","147,259"
2015-09-01,Sep,ARCH,"171,711",34,100.3741,31,"165,222","143,755"
2015-10-01,Oct,ARCH,"115,859",28,100.4033,28,"115,545","57,446"
2015-11-01,Nov,ARCH,"49,087",24,100.5198,23,"46,940","43,928"
2015-12-01,Dec,ARCH,"27,273",23,100.6167,23,"26,511","20,924"
2016-01-01,Jan,ARCH,"20,311",26,100.6298,35,"20,699","17,038"
2016-02-01,Feb,ARCH,"33,200",31,100.5925,31,"34,255","22,559"
2016-03-01,Mar,ARCH,"119,122",44,100.5527,38,"103,649","89,841"
2016-04-01,Apr,ARCH,"151,112",45,100.5748,43,"138,903","122,186"
2016-05-01,May,ARCH,"201,718",49,100.697,44,"179,804","165,379"
2016-06-01,Jun,ARCH,"211,706",42,100.675,44,"189,073","170,286"
2016-07-01,Jul,ARCH,"210,359",43,100.5284,39,"195,748","169,844"
2016-08-01,Aug,ARCH,"188,340",37,100.4226,39,"173,186","173,416"
2016-09-01,Sep,ARCH,"200,906",40,100.4034,34,"171,711","165,222"
2016-10-01,Oct,ARCH,"146,250",30,100.4803,28,"115,859","115,545"
2016-11-01,Nov,ARCH,"69,404",25,100.8092,24,"49,087","46,940"
2016-12-01,Dec,ARCH,"33,290",25,101.1464,23,"27,273","26,511"
2017-01-01,Jan,ARCH,"21,549",29,101.2944,26,"20,311","20,699"
2017-02-01,Feb,ARCH,"38,248",31,101.2821,31,"33,200","34,255"
2017-03-01,Mar,ARCH,"128,508",46,101.2514,44,"119,122","103,649"
2017-04-01,Apr,ARCH,"155,286",46,101.2115,45,"151,112","138,903"
2017-05-01,May,ARCH,"188,726",46,101.14,49,"201,718","179,804"
2017-06-01,Jun,ARCH,"193,060",44,101.0344,42,"211,706","189,073"
2017-07-01,Jul,ARCH,"192,767",46,100.9954,43,"210,359","195,748"
2017-08-01,Aug,ARCH,"177,764",40,101.0979,37,"188,340","173,186"
2017-09-01,Sep,ARCH,"187,603",37,101.2299,40,"200,906","171,711"
2017-10-01,Oct,ARCH,"138,325",31,101.3895,30,"146,250","115,859"
2017-11-01,Nov,ARCH,"72,867",29,101.3534,25,"69,404","49,087"
2017-12-01,Dec,ARCH,"44,325",26,101.1748,25,"33,290","27,273"
2008-01-01,Jan,BADL,"7,836",75,98.66745,61,"14,820","9,365"
2008-02-01,Feb,BADL,"7,351",67,98.28046,77,"7,448","8,129"
2008-03-01,Mar,BADL,"13,937",76,97.81391,86,"15,319","12,192"
2008-04-01,Apr,BADL,"19,620",76,97.28801,84,"24,350","21,437"
2008-05-01,May,BADL,"62,637",100,96.91043,92,"68,211","62,224"
2008-06-01,Jun,BADL,"169,249",96,96.79169,89,"177,612","165,119"
2008-07-01,Jul,BADL,"216,713",94,96.99389,100,"217,962","203,452"
2008-08-01,Aug,BADL,"201,226",88,97.25005,93,"201,031","198,003"
2008-09-01,Sep,BADL,"94,323",71,97.32576,74,"95,505","91,615"
2008-10-01,Oct,BADL,"36,505",53,96.97441,77,"42,105","39,023"
2008-11-01,Nov,BADL,"9,329",58,96.71896,59,"14,174","20,369"
2008-12-01,Dec,BADL,"7,008",51,96.71152,62,"8,117","9,190"
2009-01-01,Jan,BADL,"7,332",59,96.7187,62,"7,836","14,820"
2009-02-01,Feb,BADL,"7,639",62,96.69278,65,"7,351","7,448"
2009-03-01,Mar,BADL,"11,875",75,96.8938,75,"13,937","15,319"
2009-04-01,Apr,BADL,"25,911",72,97.33988,81,"19,620","24,350"
2009-05-01,May,BADL,"69,831",82,97.72372,88,"62,637","68,211"
2009-06-01,Jun,BADL,"189,139",82,97.88263,86,"169,249","177,612"
2009-07-01,Jul,BADL,"249,779",92,97.83762,78,"216,713","217,962"
2009-08-01,Aug,BADL,"215,299",72,97.88111,75,"201,226","201,031"
2009-09-01,Sep,BADL,"105,471",62,98.05814,65,"94,323","95,505"
2009-10-01,Oct,BADL,"32,610",65,98.08765,55,"36,505","42,105"
2009-11-01,Nov,BADL,"12,886",58,98.10162,46,"9,329","14,174"
2009-12-01,Dec,BADL,"6,146",46,98.27495,50,"7,008","8,117"
2010-01-01,Jan,BADL,"6,696",46,98.43562,69,"7,332","7,836"
2010-02-01,Feb,BADL,"6,722",47,98.49038,61,"7,639","7,351"
2010-03-01,Mar,BADL,"7,752",59,98.4873,68,"11,875","13,937"
2010-04-01,Apr,BADL,"23,423",57,98.467,69,"25,911","19,620"
2010-05-01,May,BADL,"71,909",68,98.46574,71,"69,831","62,637"
2010-06-01,Jun,BADL,"192,904",76,98.37128,86,"189,139","169,249"
2010-07-01,Jul,BADL,"238,189",80,98.08856,98,"249,779","216,713"
2010-08-01,Aug,BADL,"230,914",72,97.91614,72,"215,299","201,226"
2010-09-01,Sep,BADL,"130,822",59,97.86565,59,"105,471","94,323"
2010-10-01,Oct,BADL,"46,929",51,97.96348,59,"32,610","36,505"
2010-11-01,Nov,BADL,"13,368",44,98.21903,48,"12,886","9,329"
2010-12-01,Dec,BADL,"8,150",42,98.46816,39,"6,146","7,008"
2011-01-01,Jan,BADL,"6,646",46,98.5757,40,"6,696","7,332"
2011-02-01,Feb,BADL,"6,818",50,98.52698,50,"6,722","7,639"
2011-03-01,Mar,BADL,"16,375",52,98.28506,47,"7,752","11,875"
2011-04-01,Apr,BADL,"20,652",54,98.22705,59,"23,423","25,911"
2011-05-01,May,BADL,"58,637",70,98.21146,72,"71,909","69,831"
2011-06-01,Jun,BADL,"169,056",82,97.90632,83,"192,904","189,139"
2011-07-01,Jul,BADL,"217,178",82,97.33338,76,"238,189","249,779"
2011-08-01,Aug,BADL,"188,638",67,96.84435,65,"230,914","215,299"
2011-09-01,Sep,BADL,"116,187",59,96.77763,50,"130,822","105,471"
2011-10-01,Oct,BADL,"40,910",49,97.00771,55,"46,929","32,610"
2011-11-01,Nov,BADL,"17,133",41,97.44639,41,"13,368","12,886"
2011-12-01,Dec,BADL,"12,511",41,97.98903,43,"8,150","6,146"
2012-01-01,Jan,BADL,"9,660",48,98.45164,47,"6,646","6,696"
2012-02-01,Feb,BADL,"10,908",41,98.70954,43,"6,818","6,722"
2012-03-01,Mar,BADL,"22,784",55,98.83382,45,"16,375","7,752"
2012-04-01,Apr,BADL,"31,658",59,98.86866,54,"20,652","23,423"
2012-05-01,May,BADL,"72,568",77,98.81271,67,"58,637","71,909"
2012-06-01,Jun,BADL,"162,676",80,98.60784,75,"169,056","192,904"
2012-07-01,Jul,BADL,"209,064",80,98.53565,75,"217,178","238,189"
2012-08-01,Aug,BADL,"189,830",69,98.70587,65,"188,638","230,914"
2012-09-01,Sep,BADL,"103,606",58,99.02282,50,"116,187","130,822"
2012-10-01,Oct,BADL,"40,449",46,99.25011,46,"40,910","46,929"
2012-11-01,Nov,BADL,"17,791",40,99.16354,38,"17,133","13,368"
2012-12-01,Dec,BADL,"12,412",40,98.8289,37,"12,511","8,150"
2013-01-01,Jan,BADL,"11,882",42,98.70023,47,"9,660","6,646"
2013-02-01,Feb,BADL,"11,033",44,98.80344,47,"10,908","6,818"
2013-03-01,Mar,BADL,"18,258",51,98.9706,48,"22,784","16,375"
2013-04-01,Apr,BADL,"20,750",56,99.1832,58,"31,658","20,652"
2013-05-01,May,BADL,"65,043",65,99.52229,73,"72,568","58,637"
2013-06-01,Jun,BADL,"177,507",82,99.69761,77,"162,676","169,056"
2013-07-01,Jul,BADL,"225,096",87,99.65983,74,"209,064","217,178"
2013-08-01,Aug,BADL,"208,579",72,99.3783,61,"189,830","188,638"
2013-09-01,Sep,BADL,"104,029",54,98.99631,52,"103,606","116,187"
2013-10-01,Oct,BADL,"25,530",45,98.76015,46,"40,449","40,910"
2013-11-01,Nov,BADL,"16,663",35,98.86088,34,"17,791","17,133"
2013-12-01,Dec,BADL,"8,002",41,99.16534,36,"12,412","12,511"
2014-01-01,Jan,BADL,"9,548",41,99.33865,39,"11,882","9,660"
2014-02-01,Feb,BADL,"8,671",39,99.40892,42,"11,033","10,908"
2014-03-01,Mar,BADL,"15,898",46,99.44125,46,"18,258","22,784"
2014-04-01,Apr,BADL,"25,054",52,99.51447,59,"20,750","31,658"
2014-05-01,May,BADL,"63,131",62,99.50082,63,"65,043","72,568"
2014-06-01,Jun,BADL,"168,011",69,99.47433,73,"177,507","162,676"
2014-07-01,Jul,BADL,"210,370",77,99.46612,87,"225,096","209,064"
2014-08-01,Aug,BADL,"208,807",61,99.56129,69,"208,579","189,830"
2014-09-01,Sep,BADL,"96,882",48,99.7662,46,"104,029","103,606"
2014-10-01,Oct,BADL,"36,929",40,100.0543,47,"25,530","40,449"
2014-11-01,Nov,BADL,"13,973",34,100.4078,37,"16,663","17,791"
2014-12-01,Dec,BADL,"10,820",37,100.7997,36,"8,002","12,412"
2015-01-01,Jan,BADL,"10,414",43,101.0638,42,"9,548","11,882"
2015-02-01,Feb,BADL,"10,942",57,101.0661,43,"8,671","11,033"
2015-03-01,Mar,BADL,"21,924",50,100.9696,45,"15,898","18,258"
2015-04-01,Apr,BADL,"27,193",54,100.9149,47,"25,054","20,750"
2015-05-01,May,BADL,"68,239",69,100.8346,58,"63,131","65,043"
2015-06-01,Jun,BADL,"191,593",81,100.8487,69,"168,011","177,507"
2015-07-01,Jul,BADL,"245,400",89,100.7341,72,"210,370","225,096"
2015-08-01,Aug,BADL,"231,866",91,100.5447,64,"208,807","208,579"
2015-09-01,Sep,BADL,"117,724",72,100.3741,48,"96,882","104,029"
2015-10-01,Oct,BADL,"34,498",55,100.4033,40,"36,929","25,530"
