Park,Year,Visitation,Google,VisLag1,VisLag2,VisLag3,VisLag4,VisLag5
ACAD,2008,2075857,423,2202228,2083588,"2,051,484","2,207,847","2,431,062"
ACAD,2009,2227698,507,2075857,2202228,"2,083,588","2,051,484","2,207,847"
ACAD,2010,2504208,461,2227698,2075857,"2,202,228","2,083,588","2,051,484"
ACAD,2011,2374645,406,2504208,2227698,"2,075,857","2,202,228","2,083,588"
ACAD,2012,2431052,419,2374645,2504208,"2,227,698","2,075,857","2,202,228"
ACAD,2013,2254922,411,2431052,2374645,"2,504,208","2,227,698","2,075,857"
ACAD,2014,2563129,397,2254922,2431052,"2,374,645","2,504,208","2,227,698"
ACAD,2015,2811184,430,2563129,2254922,"2,431,052","2,374,645","2,504,208"
ACAD,2016,3303393,520,2811184,2563129,"2,254,922","2,431,052","2,374,645"
ACAD,2017,3509271,516,3303393,2811184,"2,563,129","2,254,922","2,431,052"
ARCH,2008,928795,441,860181,833049,"781,670","733,131","757,781"
ARCH,2009,996312,378,928795,860181,"833,049","781,670","733,131"
ARCH,2010,1014405,348,996312,928795,"860,181","833,049","781,670"
ARCH,2011,1040758,335,1014405,996312,"928,795","860,181","833,049"
ARCH,2012,1070577,331,1040758,1014405,"996,312","928,795","860,181"
ARCH,2013,1082866,346,1070577,1040758,"1,014,405","996,312","928,795"
ARCH,2014,1284767,379,1082866,1070577,"1,040,758","1,014,405","996,312"
ARCH,2015,1399247,422,1284767,1082866,"1,070,577","1,040,758","1,014,405"
ARCH,2016,1585718,437,1399247,1284767,"1,082,866","1,070,577","1,040,758"
ARCH,2017,1539028,451,1585718,1399247,"1,284,767","1,082,866","1,070,577"
BADL,2008,845734,905,886654,840118,"909,146","936,030","871,034"
BADL,2009,933918,827,845734,886654,"840,118","909,146","936,030"
BADL,2010,977778,701,933918,845734,"886,654","840,118","909,146"
BADL,2011,870741,693,977778,933918,"845,734","886,654","840,118"
BADL,2012,883406,693,870741,977778,"933,918","845,734","886,654"
BADL,2013,892372,674,883406,870741,"977,778","933,918","845,734"
BADL,2014,868094,606,892372,883406,"870,741","977,778","933,918"
BADL,2015,989354,827,868094,892372,"883,406","870,741","977,778"
BADL,2016,996263,758,989354,868094,"892,372","883,406","870,741"
BADL,2017,1054325,855,996263,989354,"868,094","892,372","883,406"
BIBE,2008,362512,813,364856,298717,"398,583","357,723","312,384"
BIBE,2009,363905,713,362512,364856,"298,717","398,583","357,723"
BIBE,2010,372330,628,363905,362512,"364,856","298,717","398,583"
BIBE,2011,361862,523,372330,363905,"362,512","364,856","298,717"
BIBE,2012,292055,521,361862,372330,"363,905","362,512","364,856"
BIBE,2013,316953,511,292055,361862,"372,330","363,905","362,512"
BIBE,2014,314102,555,316953,292055,"361,862","372,330","363,905"
BIBE,2015,381747,686,314102,316953,"292,055","361,862","372,330"
BIBE,2016,388290,727,381747,314102,"316,953","292,055","361,862"
BIBE,2017,440276,774,388290,381747,"314,102","316,953","292,055"
BISC,2008,686062,724,517442,608836,"563,728","478,304","490,031"
BISC,2009,437745,780,686062,517442,"608,836","563,728","478,304"
BISC,2010,467612,728,437745,686062,"517,442","608,836","563,728"
BISC,2011,476077,788,467612,437745,"686,062","517,442","608,836"
BISC,2012,495613,844,476077,467612,"437,745","686,062","517,442"
BISC,2013,486848,722,495613,476077,"467,612","437,745","686,062"
BISC,2014,525745,586,486848,495613,"476,077","467,612","437,745"
BISC,2015,508164,604,525745,486848,"495,613","476,077","467,612"
BISC,2016,514709,698,508164,525745,"486,848","495,613","476,077"
BISC,2017,446961,714,514709,508164,"525,745","486,848","495,613"
BLCA,2008,160185,619,219576,160450,"180,814","175,581","167,247"
BLCA,2009,171451,597,160185,219576,"160,450","180,814","175,581"
BLCA,2010,176344,578,171451,160185,"219,576","160,450","180,814"
BLCA,2011,168336,574,176344,171451,"160,185","219,576","160,450"
BLCA,2012,192570,534,168336,176344,"171,451","160,185","219,576"
BLCA,2013,175852,560,192570,168336,"176,344","171,451","160,185"
BLCA,2014,183045,547,175852,192570,"168,336","176,344","171,451"
BLCA,2015,209166,623,183045,175852,"192,570","168,336","176,344"
BLCA,2016,238018,689,209166,183045,"175,852","192,570","168,336"
BLCA,2017,307143,700,238018,209166,"183,045","175,852","192,570"
BRCA,2008,1043321,855,1012563,890676,"1,017,681","987,253","903,760"
BRCA,2009,1216377,725,1043321,1012563,"890,676","1,017,681","987,253"
BRCA,2010,1285492,691,1216377,1043321,"1,012,563","890,676","1,017,681"
BRCA,2011,1296000,619,1285492,1216377,"1,043,321","1,012,563","890,676"
BRCA,2012,1385352,587,1296000,1285492,"1,216,377","1,043,321","1,012,563"
BRCA,2013,1311875,600,1385352,1296000,"1,285,492","1,216,377","1,043,321"
BRCA,2014,1435741,605,1311875,1385352,"1,296,000","1,285,492","1,216,377"
BRCA,2015,1745804,704,1435741,1311875,"1,385,352","1,296,000","1,285,492"
BRCA,2016,2365110,716,1745804,1435741,"1,311,875","1,385,352","1,296,000"
BRCA,2017,2571684,745,2365110,1745804,"1,435,741","1,311,875","1,385,352"
CANY,2008,436715,827,417560,392537,"393,381","371,706","386,986"
CANY,2009,436241,755,436715,417560,"392,537","393,381","371,706"
CANY,2010,435908,689,436241,436715,"417,560","392,537","393,381"
CANY,2011,473773,732,435908,436241,"436,715","417,560","392,537"
CANY,2012,452952,632,473773,435908,"436,241","436,715","417,560"
CANY,2013,462242,684,452952,473773,"435,908","436,241","436,715"
CANY,2014,542431,732,462242,452952,"473,773","435,908","436,241"
CANY,2015,634607,749,542431,462242,"452,952","473,773","435,908"
